졸음쉼터명,시도명,시군구명,도로종류,도로노선명,도로노선번호,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,총연장,주차면수,화장실유무,방범용CCTV수,기타편의시설,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
죽당졸음쉼터,09,이천시 부발읍,02,남해~초산,3,초산기점+남해종점,경기도 이천시 부발읍 죽당리 산40-6,경기도 이천시 부발읍 죽당리 산40-6,37.284335,127.525170,280,16,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
죽당졸음쉼터,09,이천시 부발읍,02,남해~초산,3,남해기점+초산종점,경기도 이천시 부발읍 죽당리 287-91,경기도 이천시 부발읍 죽당리 287-91,37.284843,127.525732,280,16,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
도봉졸음쉼터,09,이천시 신둔면,02,남해~초산,3,초산기점+남해종점,경기도 이천시 신둔면 도봉리 547,경기도 이천시 신둔면 도봉리 547,37.314312,127.453879,280,16,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
도봉졸음쉼터,09,이천시 신둔면,02,남해~초산,3,남해기점+초산종점,경기도 이천시 신둔면 도봉리 557-15,경기도 이천시 신둔면 도봉리 557-15,37.314799,127.453879,280,16,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
천남졸음쉼터,09,여주시 대신면,02,거창~파주,37,파주기점+거창종점,경기도 여주시 대신면 천남리 384-8,경기도 여주시 대신면 천남리 384-8,37.339834,127.623201,250,7,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
천남졸음쉼터,09,여주시 대신면,02,거창~파주,37,거창기점+파주종점,경기도 여주시 대신면 천남리 384-7,경기도 여주시 대신면 천남리 384-7,37.340071,127.623571,250,7,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
임원쉼터(하행선),10,삼척시,02,부산~온성선,7,강릉방향,,강원도 삼척시 원덕읍 임원리 271-9,37.251920,129.335202,110,15,N,0,없음,삼척시 건설과,033-570-3484,2018-08-31,4240000,강원도 삼척시
초곡쉼터(하행선),10,삼척시,02,부산~온성선,7,울진방향,,강원도 삼척시 근덕면 초곡리 산 58-7,37.297567,129.295872,42,15,Y,0,없음,삼척시 건설과,033-570-3484,2018-08-31,4240000,강원도 삼척시
초곡쉼터(상행선),10,삼척시,02,부산~온성선,7,강릉방향,,강원도 삼척시 근덕면 초곡리 403-4,37.310184,129.293795,111,24,Y,0,없음,삼척시 건설과,033-570-3484,2018-08-31,4240000,강원도 삼척시
김포졸음쉼터(판교방면),09,김포시,01,서울외곽순환고속도로(판교방면),100,판교방면,경기도 김포시 고촌읍 김포대로319번길 209-23,경기도 김포시 고촌읍 신곡리 756-3,37.59225907,126.7683906,,28,Y,,푸드트럭,한국도로공사 김포영업소,031-985-0456,2019-09-04,4090000,경기도 김포시
김포졸음쉼터(일산방면),09,김포시,01,서울외곽순환고속도로(일산방면),100,일산방면,경기도 김포시 고촌읍 김포대로319번길 209-23,경기도 김포시 고촌읍 신곡리 756-3,37.59225907,126.7683906,,79,Y,,푸드트럭,한국도로공사 김포영업소,031-985-0456,2019-09-04,4090000,경기도 김포시
자유로졸음쉼터(상행선),경기도,파주시,고속국도,자유로,국도77호선,서울방향,,경기도 파주시 자유로 2681,37.740892,126.687541,45.5,40,Y,0,없음,파주시도로관리사업소,031-940-5392,2020-06-26,4060000,경기도 파주시
인천공항고속도로 비상주차대,인천광역시,서구,고속국도,인천국제공항고속도로(인천~경기고양),130,인천 기점+경기고양 종점,,인천광역시 서구 검암동 산113-14,37.56899837,126.6626286,,27,Y,2,파고라+운동시설+안내표지판+횡단보도+LED가로등+조경식재+음료자동판매기,신공항하이웨이㈜,032-560-6100,2020-07-01,3560000,인천광역시 서구
마이산 졸음쉼터,전라북도,진안군,고속국도,익산장수선,20,익산 기점 + 장수 종점,,전라북도 진안군 진안읍 연장리 1551-11,35.4628524,127.467676,490,7,Y,1,"운동시설, 등의자, 파고라",한국도로공사 전북본부,063-714-6641,2020-07-13,4730000,전라북도 진안군
